Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,0.001856759,0.001963938,0.001988353,0.002149737,0.002375406,0.002592564,0.002725053,0.003037854,0.003264195,0.003660656,0.004124538,0.004511927,0.005192874,0.006368866,0.008877524,0.00970818,0.010481533,0.01100975,0.011821791,0.01345848,0.01496546,0.017652734,0.019365111,0.017689939,0.019319779,0.018018256,0.018198937,0.018907689,0.023577125,0.02994805,0.031095498,0.032557492,0.03252534,0.031195053,0.032280526,0.036794921,0.040133536,0.043557129,0.03992939,0.038867214,0.041495196,0.037845927,0.039419632,0.046634828,0.061269526,0.069307548,0.07468808,0.085305331,0.105455774,0.092656383,0.114225051,0.138991916,0.153747783,0.156395096,0.145467548,0.133953906
Brazil,0.001516557,0.001523685,0.001992629,0.002302148,0.002121189,0.002179004,0.002706272,0.003059183,0.003387588,0.00374589,0.00423276,0.004920446,0.005853901,0.007927906,0.010513601,0.012370938,0.015267802,0.017617128,0.020080089,0.022496949,0.02350246,0.026356109,0.02816823,0.020330452,0.020902391,0.022294279,0.026813722,0.029408411,0.033039738,0.042559531,0.046195178,0.060286,0.040059925,0.043779858,0.0558112,0.078564346,0.085042583,0.088319944,0.08637234,0.059938888,0.065542115,0.05593725,0.050796274,0.055832012,0.066931624,0.089162997,0.110764033,0.139708438,0.169582452,0.166702011,0.220887221,0.261457317,0.246065844,0.246577385,0.241704632,0.177472482
Canada,0.004109345,0.004076797,0.004197885,0.004465717,0.004888294,0.005390957,0.006035863,0.006476883,0.007075903,0.007788751,0.00878961,0.009927196,0.011308282,0.013132186,0.01604087,0.017383403,0.020657556,0.021161216,0.021863287,0.02430721,0.027385383,0.030621486,0.031350653,0.034054771,0.035537256,0.03647565,0.037743793,0.043131674,0.050735435,0.056505574,0.059392955,0.061032818,0.059238769,0.057717076,0.057813928,0.060403162,0.062854639,0.065282536,0.063181328,0.067608265,0.074229345,0.073637978,0.075795068,0.089238099,0.1023196,0.116935798,0.13154152,0.146497719,0.154913121,0.1371153,0.161340613,0.178870339,0.182428876,0.183744349,0.178377559,0.155053652
China,0.005918412,0.004955705,0.004668518,0.00500973,0.005906225,0.006970915,0.007587943,0.007205703,0.00699935,0.007871882,0.009150621,0.009856202,0.011215981,0.013676988,0.014225474,0.016116249,0.015162769,0.017234901,0.014838211,0.017685653,0.018964999,0.019436905,0.020354963,0.02289502,0.025808215,0.030747959,0.029880579,0.027134977,0.031072221,0.034595749,0.035897323,0.03814547,0.042493407,0.04428746,0.056226113,0.073203205,0.08608441,0.095815942,0.10252769,0.108944711,0.120526068,0.133223472,0.146190649,0.164992872,0.19417456,0.22685989,0.272978403,0.352309431,0.455843107,0.505941974,0.603965851,0.74924321,0.846162316,0.94906026,1.035111176,1.0866444
Germany,,,,,,,,,,,0.021502181,0.024903922,0.029866722,0.039686674,0.044361864,0.048878016,0.051778792,0.059822621,0.073766836,0.087801054,0.094669536,0.079744341,0.07736382,0.076776838,0.072236761,0.072976328,0.104230077,0.129326435,0.139593155,0.139367433,0.176496795,0.18618739,0.212313087,0.206855554,0.220596601,0.259162004,0.250366519,0.221868938,0.224322552,0.219995738,0.194995393,0.195064877,0.207913608,0.250573363,0.28192451,0.286141027,0.300244637,0.343995346,0.375236561,0.3418005,0.341729801,0.375746455,0.353961538,0.374531715,0.386829123,0.335577243
France,0.006265147,0.006834674,0.007631378,0.008555111,0.009490659,0.010216057,0.011059747,0.011946614,0.012984711,0.01407255,0.014894886,0.016656446,0.020428349,0.026538156,0.028652619,0.036200092,0.037341027,0.04114643,0.050818314,0.06158341,0.07035253,0.061758962,0.058683701,0.056185214,0.05326488,0.055519711,0.07745563,0.093836844,0.102350402,0.103012235,0.127530057,0.127556331,0.140872491,0.133009497,0.140163634,0.160989223,0.161424542,0.146070915,0.151075828,0.150027594,0.136843836,0.138221834,0.150033785,0.184812415,0.212411224,0.220367865,0.232501192,0.266311251,0.292346565,0.269382745,0.26469947,0.286250209,0.268141611,0.28085112,0.282919204,0.242168238
United Kingdom,0.007232805,0.007669436,0.008060194,0.008544377,0.00933876,0.010059578,0.010709072,0.011118538,0.010470274,0.011267687,0.013067195,0.01481139,0.016996503,0.019253797,0.020613137,0.024175664,0.023261456,0.026306646,0.033588303,0.043899407,0.056494771,0.054076568,0.051504892,0.048961801,0.04614871,0.048928516,0.060145265,0.074516261,0.091012273,0.092688482,0.109316939,0.114279718,0.117965953,0.106138872,0.114048975,0.123756194,0.130657566,0.144644401,0.153710335,0.156540851,0.155480103,0.153594213,0.168025629,0.194302531,0.229788905,0.241894182,0.258807728,0.296973389,0.279337684,0.231457704,0.240350433,0.259490466,0.263047298,0.271229627,0.299020143,0.284875545
India,0.003767927,0.003992045,0.004290086,0.00492711,0.005747078,0.006059926,0.00466698,0.005101416,0.005401641,0.005947299,0.006351718,0.006853227,0.00727166,0.008701495,0.010127149,0.010019951,0.010451812,0.012361784,0.013970869,0.015567434,0.018959412,0.019688347,0.020423437,0.022209028,0.021587823,0.02365891,0.025335244,0.028392698,0.030179095,0.030123373,0.032660801,0.027484216,0.029326272,0.028419402,0.033301499,0.036660019,0.039978726,0.04231608,0.042874069,0.046686672,0.047660915,0.049395416,0.052396838,0.061835647,0.072158481,0.08342147,0.094911677,0.123869917,0.122409707,0.136537147,0.170845888,0.181586572,0.182496031,0.186320834,0.204243859,0.207354298
Japan,0.004430734,0.005350862,0.006072302,0.006949813,0.008174901,0.009095028,0.010562807,0.012378188,0.014660107,0.01722042,0.020907055,0.023615476,0.031273803,0.042489115,0.047164317,0.051286144,0.057640587,0.070940471,0.099674176,0.103745265,0.108698809,0.120146586,0.111684077,0.121810645,0.12946085,0.138453225,0.205106123,0.24852362,0.301539355,0.301705205,0.31036981,0.353680094,0.385279437,0.441496279,0.485034802,0.533392551,0.470618713,0.432427811,0.391457489,0.443259928,0.473119876,0.415985992,0.398081954,0.430293918,0.465580306,0.457186744,0.435675021,0.435634779,0.484918464,0.503514157,0.549871782,0.590898919,0.595725012,0.490886284,0.459615656,0.412325761
United States,0.05433,0.05633,0.06051,0.06386,0.06858,0.07437,0.0815,0.08617,0.09425,0.10199,0.1075884,0.116777,0.1282449,0.1428549,0.1548825,0.1688923,0.1877587,0.2085951,0.2356571,0.2632143,0.2862505,0.3210956,0.3344991,0.3638137,0.4040693,0.4346734,0.4590155,0.4870217,0.5252629,0.5657693,0.5979589,0.6174043,0.6539299,0.6878718,0.7308755,0.766406,0.8100201,0.8608515,0.9089168,0.9660624,1.0284779,1.0621824,1.0977514,1.151067,1.2274928,1.3093726,1.3855888,1.4477635,1.4718582,1.4418739,1.4964372,1.5517926,1.6155255,1.666316,1.73480715,1.7946996
