Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,0.010276477,0.010483,0.010742,0.01095,0.011167,0.011388,0.011651,0.011799,0.012009,0.012263,0.012507,0.012937,0.013177,0.01338,0.013723,0.013893,0.014033,0.014192,0.014358,0.014514,0.014692,0.014927,0.015178,0.015369,0.015544,0.015758,0.0160184,0.0162639,0.0165322,0.0168144,0.0170651,0.017284,0.017495,0.017667,0.017855,0.018072,0.018311,0.018517,0.018711,0.018926,0.019153,0.019413,0.0196514,0.0198954,0.0201274,0.0203948,0.0206979,0.0208276,0.0212492,0.0216917,0.02203175,0.022340024,0.022728254,0.023117353,0.023464086,0.023781169
Brazil,0.072493585,0.074706888,0.077007549,0.079368453,0.081751802,0.084130061,0.086494987,0.088853679,0.091213009,0.093585746,0.095982453,0.0984022,0.100844391,0.103320787,0.105846274,0.108431284,0.111076063,0.113776467,0.116532153,0.119341444,0.122199721,0.125107382,0.128054757,0.131014337,0.133950551,0.136836428,0.139664639,0.142437479,0.145150468,0.147801816,0.150393143,0.152916852,0.155379009,0.15781222,0.160260508,0.162755054,0.165303155,0.167893835,0.170516482,0.173153066,0.175786441,0.178419396,0.181045592,0.183627339,0.186116363,0.18847924,0.190698241,0.192784521,0.194769696,0.196701298,0.198614208,0.200517584,0.202401584,0.204259377,0.206077898,0.207847528
Canada,0.017909009,0.018271,0.018614,0.018964,0.019325,0.019678,0.020048,0.020412,0.020744,0.021028,0.021324,0.021645535,0.021993631,0.022369408,0.022774087,0.023209,0.023518,0.023796,0.024036,0.024277,0.024593,0.0249,0.025202,0.025456,0.025702,0.025942,0.026204,0.02655,0.026895,0.027379,0.027791,0.028171682,0.028519597,0.02883341,0.029111906,0.029354,0.0296719,0.0299872,0.0302479,0.0304992,0.0307697,0.0310819,0.031362,0.031676,0.031995,0.032312,0.032570505,0.032887928,0.033245773,0.033628571,0.034005274,0.03434278,0.034751476,0.035155499,0.035543658,0.035851774
China,0.66707,0.66033,0.66577,0.682335,0.698355,0.715185,0.7354,0.75455,0.77451,0.796025,0.818315,0.841105,0.86203,0.88194,0.90035,0.916395,0.930685,0.943455,0.956165,0.969005,0.981235,0.993885,1.00863,1.02331,1.036825,1.05104,1.06679,1.084035,1.10163,1.11865,1.135185,1.15078,1.16497,1.17844,1.191835,1.204855,1.21755,1.230075,1.241935,1.252735,1.262645,1.27185,1.2804,1.2884,1.296075,1.30372,1.31102,1.317885,1.324655,1.33126,1.337705,1.34413,1.350695,1.35738,1.36427,1.37122
Germany,0.0728149,0.073377632,0.074025784,0.074714353,0.075318337,0.075963695,0.076600311,0.076951336,0.077294314,0.077909682,0.078169289,0.078312842,0.078688452,0.078936666,0.078967433,0.078673554,0.07833695,0.078159814,0.07809182,0.07812635,0.078288576,0.078407907,0.078333366,0.078128282,0.077858685,0.077684873,0.077720436,0.07783992,0.078144619,0.078751283,0.079433029,0.080013896,0.080624598,0.081156363,0.081438348,0.081678051,0.081914831,0.082034771,0.082047195,0.082100243,0.082211508,0.082349925,0.082488495,0.082534176,0.08251626,0.082469422,0.082376451,0.082266372,0.082110097,0.081902307,0.08177693,0.081797673,0.080425823,0.082132753,0.0809825,0.081413145
France,0.046814237,0.047444751,0.048119649,0.04880368,0.049449403,0.050023774,0.050508717,0.050915456,0.051276054,0.05163826,0.052035095,0.052480421,0.052959228,0.053441264,0.053882416,0.054252574,0.054541493,0.054764462,0.054947975,0.055130594,0.055340782,0.055585824,0.055858727,0.056156284,0.056470769,0.056795686,0.057132691,0.057482591,0.057836486,0.058182702,0.058512808,0.058559312,0.058851216,0.059106766,0.059327194,0.0595419,0.059753098,0.059964845,0.060186291,0.060496715,0.060912498,0.061357431,0.061805267,0.062244884,0.062704897,0.063179356,0.063621376,0.064016229,0.06437499,0.064707044,0.065027512,0.065342776,0.06565979,0.065972097,0.06649594,0.066808385
United Kingdom,0.0524,0.0528,0.05325,0.05365,0.054,0.05434805,0.0546485,0.0549436,0.0552117,0.05544175,0.05566325,0.055896223,0.056086065,0.056194527,0.056229974,0.0562258,0.056211968,0.056193492,0.056196504,0.056246951,0.056314216,0.056333829,0.056313641,0.056332848,0.056422072,0.056550268,0.056681396,0.05680205,0.056928327,0.057076711,0.057247586,0.057424897,0.057580402,0.057718614,0.057865745,0.05801903,0.05816695,0.058316954,0.058487141,0.058682466,0.058892514,0.059119673,0.059370479,0.059647577,0.059987905,0.060401206,0.06084682,0.061322463,0.061806995,0.06227627,0.062766365,0.063258918,0.0637003,0.064128226,0.06461316,0.065138232
India,0.449661874,0.458691457,0.468054145,0.477729958,0.487690114,0.49792027,0.508402908,0.519162069,0.530274729,0.541844848,0.553943226,0.566605402,0.579800632,0.593451889,0.607446519,0.621703641,0.63618281,0.650907559,0.665936435,0.681358553,0.697229745,0.713561406,0.730303461,0.747374856,0.764664278,0.782085127,0.799607235,0.817232241,0.834944397,0.85273616,0.870601776,0.888513869,0.906461358,0.924475633,0.942604211,0.960874982,0.979290432,0.99781725,1.016402907,1.034976626,1.053481072,1.07188819,1.090189358,1.108369577,1.126419321,1.144326293,1.162088305,1.179685631,1.197070109,1.214182182,1.230984504,1.247446011,1.263589639,1.279498874,1.295291543,1.311050527
Japan,0.092500572,0.094943,0.095832,0.096812,0.097826,0.098883,0.09979,0.100725,0.101061,0.103172,0.104345,0.105697,0.107188,0.108079,0.110162,0.11194,0.112771,0.113863,0.114898,0.11587,0.116782,0.117648,0.118449,0.119259,0.120018,0.120754,0.121492,0.122091,0.122613,0.123116,0.123537,0.123921,0.124229,0.124536,0.124961,0.125439,0.125757,0.126057,0.1264,0.126631,0.126843,0.127149,0.127445,0.127718,0.127761,0.127773,0.127854,0.128001,0.128063,0.128047,0.12807,0.127817277,0.127561489,0.127338621,0.1271318,0.126958472
United States,0.180671,0.183691,0.186538,0.189242,0.191889,0.194303,0.19656,0.198712,0.200706,0.202677,0.205052,0.207661,0.209896,0.211909,0.213854,0.215973,0.218035,0.220239,0.222585,0.225055,0.227225,0.229466,0.231664,0.233792,0.235825,0.237924,0.240133,0.242289,0.244499,0.246819,0.249623,0.252981,0.256514,0.259919,0.263126,0.266278,0.269394,0.272657,0.275854,0.27904,0.282162411,0.284968955,0.287625193,0.290107933,0.292805298,0.295516599,0.298379912,0.301231207,0.304093966,0.306771529,0.309346863,0.311718857,0.314102623,0.316427395,0.318907401,0.32141882
